Latitude	Longitude	Name
51.113889	-114.020278	CALGARY INTL - CYYC
54.405	-110.279444	COLD LAKE - CYOD
45.681944	-74.005278	MONTRÉAL INTL (MIRABEL) - CYMX
49.193889	-123.184444	VANCOUVER INTL - CYVR
43.677222	-79.630556	TORONTO/LESTER B. PEARSON INTL - CYYZ
53.319167	-60.425833	GOOSE BAY - CYYR
53.309722	-113.579722	EDMONTON INTL - CYEG
45.470556	-73.740833	MONTRÉAL/PIERRE ELLIOTT TRUDEAU INTL - CYUL
49.91	-97.24	WINNIPEG/JAMES ARMSTRONG RICHARDSON INTL - CYWG
48.936944	-54.568056	GANDER INTL - CYQX
49.710833	-124.886667	COMOX - CYQQ
43.173611	-79.935	HAMILTON - CYHM
46.363611	-79.422778	NORTH BAY - CYYB
45.3225	-75.669167	OTTAWA/MACDONALD-CARTIER INTL - CYOW
48.544167	-58.55	STEPHENVILLE - CYJT
44.118889	-77.528056	TRENTON - CYTR
48.330556	-70.996389	BAGOTVILLE - CYBG
48.053333	-77.782778	VAL-D'OR - CYVO
49.025278	-122.360556	ABBOTSFORD - CYXX
60.709444	-135.067222	WHITEHORSE INTL - CYXY
58.739167	-94.065	CHURCHILL - CYYQ
42.275556	-82.955556	WINDSOR - CYQG
46.791111	-71.393333	QUÉBEC/JEAN LESAGE INTL - CYQB
44.639722	-63.499444	HALIFAX/SHEARWATER - CYAW
44.880833	-63.508611	HALIFAX INTL - CYHZ
43.033056	-81.151111	LONDON - CYXU
63.756389	-68.555833	IQALUIT - CYFB
47.618611	-52.7525	ST. JOHN'S INTL - CYYT
50.330278	-105.559167	MOOSE JAW/AIR VICE MARSHAL C.M. McEWEN - CYMJ
52.170833	-106.699722	SASKATOON/JOHN G. DIEFENBAKER INTL - CYXE
45.868889	-66.537222	FREDERICTON INTL - CYFC
44.984444	-64.916944	GREENWOOD - CYZX
46.112222	-64.678611	MONCTON/GREATER MONCTON INTL - CYQM
46.440556	-63.833611	SUMMERSIDE - CYSU
49.612222	-115.781944	CRANBROOK/CANADIAN ROCKIES INTL - CYXC
50.431944	-104.665833	REGINA INTL - CYQR
45.5175	-73.416944	MONTRÉAL/ST-HUBERT - CYHU
48.206111	-78.835556	ROUYN-NORANDA - CYUY
54.468611	-128.576111	TERRACE - CYXT
62.462778	-114.440278	YELLOWKNIFE - CYZF
53.889444	-122.678889	PRINCE GEORGE - CYXS
49.956111	-119.377778	KELOWNA - CYLW
46.161389	-60.048056	SYDNEY - CYQY
49.902778	-98.274722	PORTAGE LA PRAIRIE/SOUTHPORT - CYPG
45.316111	-65.890278	SAINT JOHN - CYSJ
43.742778	-79.465556	TORONTO/DOWNSVIEW - CYZD
48.646944	-123.425833	VICTORIA INTL - CYYJ
46.289167	-63.119167	CHARLOTTETOWN - CYYG
56.653333	-111.224444	FORT McMURRAY - CYMM
43.460833	-80.378611	KITCHENER/WATERLOO - CYKF
52.183056	-122.054167	WILLIAMS LAKE - CYWL
56.238056	-120.740278	FORT ST.JOHN - CYXJ
50.628056	-97.043333	GIMLI INDUSTRIAL PARK AIRPORT - CYGM
52.830556	-111.100556	WAINWRIGHT/WAINWRIGHT (FIELD 21) - CFP7
46.625	-80.798889	SUDBURY - CYSB
49.520556	-113.997222	PINCHER CREEK - CZPC
50.223333	-66.265556	SEPT-ÎLES - CYZV
55.179722	-118.885	GRANDE PRAIRIE - CYQU
49.630278	-112.799722	LETHBRIDGE - CYQL
74.716944	-94.969444	RESOLUTE BAY - CYRB
49.91	-99.951944	BRANDON MUNI - CYBR
61.662222	-73.321389	KATTINIQ/DONALDSON - CTP9
53.625278	-77.704167	LA GRANDE RIVIÈRE - CYGL
49.771944	-74.528056	CHIBOUGAMAU/CHAPAIS - CYMT
58.836389	-122.596944	FORT NELSON - CYYE
72.982222	-84.613611	NANISIVIK - CYSR
64.698889	-110.614722	EKATI - CYOA
48.371944	-89.323889	THUNDER BAY - CYQT
60.291944	-102.501944	KASBA LAKE - CJL8
48.520833	-71.050556	CHICOUTIMI/ST-HONORÉ - CYRC
52.112778	-124.144722	PUNTZI MOUNTAIN - CYPU
50.330278	-115.873333	FAIRMONT HOT SPRINGS - CYCZ
58.422222	-130.032222	DEASE LAKE - CYDL
60.020278	-111.961944	FORT SMITH - CYSM
54.286111	-130.444722	PRINCE RUPERT - CYPR
46.485	-84.509444	SAULT STE. MARIE - CYAM
49.1325	-68.204444	BAIE-COMEAU - CYBC
47.990833	-66.330278	CHARLO - CYCL
49.210833	-57.391389	DEER LAKE - CYDF
49.831667	-92.744167	DRYDEN REGIONAL - CYHD
47.695	-79.848889	EARLTON (TIMISKAMING REGIONAL) - CYXR
57.381667	-111.701111	FORT MACKAY/HORIZON - CYNR
60.839722	-115.782778	HAY RIVER - CYHY
68.304167	-133.482778	INUVIK (MIKE ZUBKO) - CYEV
58.096111	-68.426944	KUUJJUAQ - CYVP
44.974722	-79.303333	MUSKOKA - CYQA
45.521389	-75.564167	OTTAWA/GATINEAU - CYND
62.811389	-92.115833	RANKIN INLET - CYRT
47.764444	-69.584722	RIVIÈRE-DU-LOUP - CYRI
45.438611	-71.691389	SHERBROOKE - CYSC
48.569722	-81.376667	TIMMINS - CYTS
46.352778	-72.679444	TROIS-RIVIÈRES - CYRQ
52.921944	-66.864444	WABUSH - CYWK
43.826944	-66.088056	YARMOUTH - CYQI
50.702222	-120.444444	KAMLOOPS - CYKA
49.463056	-119.602222	PENTICTON - CYYF
61.760278	-121.236389	FORT SIMPSON - CYFS
53.578889	-116.465	EDSON - CYET
58.6625	-103.538333	HATCHET LAKE - CJL2
56.790556	-124.896667	INGENIKA - CAP6
65.281667	-126.798333	NORMAN WELLS - CYVQ
48.071111	-65.460278	BONAVENTURE - CYVB
46.763056	-56.174167	ST-PIERRE - LFVP
