Longitude	Latitude	Name
-95.4205	29.7386	A.D. Players Performing Arts
-95.3658	29.762	Alley Theatre Performing Arts
-95.4153	29.7424	Antique Pavilion
-95.3972	29.7721	Art Car Museum
-95.3851	29.7231	Children's Museum of Houston
-95.391	29.7266	 Houston Contemporary Arts Museum
-95.3676	29.7639	Downtown Aquarium
-95.4636	29.7406	Galleria Mall
-95.3687	29.7617	Hobby Center for the Performing Arts
-95.3857	29.7249	 Houston Holocaust Museum
-95.3858	29.7306	Houston Center for Contemporary Craft
-95.3647	29.7635	Houston Grand Opera
-95.3913	29.7186	Houston Museum of Natural Science
-95.3655	29.7611	Houston Symphony
-95.392	29.7131	Houston Zoo
-95.4179	29.7167	Main Street Theater Performing Arts
-95.3572	29.7569	Minute Maid Park
-95.3904	29.726	Houston Museum of Fine Arts 
-95.3968	29.7554	Museum of Printing History
-95.4123	29.6849	Reliant Park
-95.0951	29.5499	Space Center Houston
-95.3624	29.7521	Toyota Center
-95.0811	29.7491	San Jaconto Battleground Monument
-95.0887	29.7525	USS Texas BB-35 
-95.3794	29.7236	Buffalo Soldiers National Museum
-94.8546	29.2707	The Texas Aviation Hall of Fame and Museum
-95.3817	30.038	Mercer Arboretum & Botanic Gardens
-94.8532	29.2731	Moody Gardens and Aquarium (Galvaston) 
-94.8523	29.2695	Schlitterbahn Island Water Park (Galvaston)
-95.473	30.3209	Heritage Museum of Montgomery County
-95.4509	30.1635	Woodlands Mall
-95.514	30.6671	Giant Statue of Sam Houston
-95.3512	29.9864	George Bush Intercontinental Airport
-95.625	29.6883	Funplex for Kids and Adults
-95.386	29.7212	Museum of Health & Medical Science
-95.275	29.7907	Military Museum of Texas
-95.3596	29.7515	George R. Brown Convention Center
-81.459076	28.41588	Aquatica Sea World's Water Park
-81.461174	28.412201	Sea World Adventure Park
-81.530594	28.339231	Arabian Nights Dinner Attrctn
-81.470894	28.324341	Capone's Dinner & Show
-81.519867	28.367624	Cirque Du Soleil
-81.460922	28.405689	Discovery Cove Way
-81.404366	28.357452	Gatorland
-81.46405	28.307167	Medieval Times Dinner and Tournament
-81.368912	28.57177	Orlando Science Center
-81.468643	28.456011	Pirates Dinner Adventure
-81.470848	28.446901	Ripley's Believe It Or Not
-81.462463	28.464443	Skull Kingdom
-81.513901	28.330788	Skycoaster of Florida LLC
-81.465126	28.463173	Sky venture
-81.470436	28.444172	Sleuths Mystery Dinner Shows
-81.474831	28.477711	Universal Islands of Adventure
-81.462524	28.47633	Universal Studios Florida
-81.464935	28.462112	Wet 'n Wild
-81.471901	28.434002	Wonderworks
-81.392433	28.37092	Murderwatch Mystery Theatre
-81.470968	28.455326	Titanic Experience
-81.5705	28.392	Disney World  (Magic Kingdom)
-81.5575	28.3803	Epcot
-81.5602	28.3534	Hollywood Studios  (MGM)
-81.5888	28.3484	Animal Kingdom
-81.5815	28.3976	Richard Petty Driving Experience
-80.6305	28.4121	Disney Cruise Port (Port Canaveral)
-81.57667	28.41667	Disney's Contemporary Resort
-81.58915	28.40888	Disney's Grand Floridian Resort & SPA
-81.58524	28.40471	Disney's Polynesian Resort
-81.57387	28.40608	Disney's Wilderness Lodge
-81.55356	28.39552	Disney's Fort wilderness Resorts & Campground
-81.53758	28.38413	Disney's Port Orleans Resort - Riverside
-81.53718	28.38008	Disney's Port Orleans Resort - French Quarter
-81.53347	28.37585	Disney's Old Key West Resort
