Latitude,Longitude,Name
42.987288,-82.327503,Hiawatha Horse Park Slots (No hotel) 519-542-5543
44.652814,-63.576419,Casino Nova Scotia Halifax (No hotel) 902-425-7777
46.136735,-60.190673,Casino Nova Scotia Sydney (No Hotel) 902-563-7777
46.246662,-63.116605,Red Shores Casino Charlottetown (Racino) (No hotel) 877-620-4222 or 902-620-4222
46.398391,-63.801174,Red Shores Casino Summerside (No hotel) 
46.128035,-64.879944,Casino New Brunswick 877-859-7775 or 506-859-7770
46.824157,-71.251186,Salon de Jeux de Qu‚bec (No hotel) 877-700-5836
47.621184,-70.144861,Casino Charlevoix (No hotel) 800-665-2274 or 418-665-5300
46.345377,-72.560139,Salon de Jeux de Trois-Rivieres (No hotel) 877-700-5836 or 819-693-4774
45.505967,-73.525549,Casino de Montr‚al (No hotel) 800-665-2274 or 514-392-2746
45.377098,-73.706141,Playground Poker Club (No hotel) 855-685-7653 or 450-635-7653
46.200962,-74.568638,Casino de Mont-Tremblant (No hotel) 877-574-2177 or 819-429-4150
45.446615,-75.725779,Casino du Lac-Leamy (No hotel) 800-665-2274 or 819-772-2100
44.207937,-78.389044,Shorelines Slots Kawartha Downs (No hotel) 705-939-2400
45.295141,-75.605873,OLG Slots at Rideau Carleton Raceway (no hotel) 877-870-7586 or 613-822-8668
44.340978,-76.139301,Shorelines Casino Thousand Islands (No hotel) 613-382-6800
44.182794,-77.420308,Shorelines Casino Belleville (No hotel) 613-689-9100
43.497262,-79.997142,OLG Slots at Mohawk Racetrack (No hotel) 800-732-2230 or 905-854-4053
43.871252,-79.001754,Ajax Downs (No hotel) 905-619-2690
43.091426,-79.071813,Casino Niagara (No hotel) 888-325-5788
43.082345,-79.082473,Fallsview Casino Resort 888-325-5788
44.647962,-79.345669,Casino Rama 800-832-7529 or 705-329-3325       
43.300079,-80.026399,OLG Slots at Flamboro Downs (No hotel) 866-746-6600 or 905-628-4275
44.180889,-78.88875,Great Blue Heron Casino (No hotel) 888-294-3766 or 905-985-4888
44.291499,-79.688259,OLG Slots at Georgian Downs (No hotel) 866-299-7568 or 705-726-6770
43.715565,-79.603174,OLG Slots at Woodbine Racetrack (No hotel) 888-345-7568 or 416-675-1101
43.674778,-80.433393,OLG Slots at Grand River Raceway (No hotel) 519-846-2022
43.621316,-81.536013,OLG Slots at Clinton Raceway (No hotel) 519-482-7540
42.58242,-82.183269,OLG Slots at Dresden Raceway (No hotel) 519-683-1551
43.136691,-80.265273,OLG Casino at Brantford (no hotel) 888-694-6946 or 519-752-5004
44.146193,-81.02777,OLG Slots at Hanover Raceway (No hotel) 519-364-7606
43.133742,-80.740917,OLG Slots at Woodstock Raceway (No hotel) 519-537-4808
42.989499,-81.219483,OLG Slots at Western Fair District (No hotel) 877-912-5466 or 519-672-5394
42.993598,-82.421475,OLG Casino at Point Edward (No hotel) 888-394-6244 or 519-383-7770
42.320616,-83.033833,Caesars Windsor 800-991-7777
46.590581,-81.141719,OLG Slots at Sudbury Downs (No hotel) 888-812-1703 or 705-855-7164
46.517147,-84.343626,OLG Casino at Sault Ste Marie (No hotel) 800-826-8946 or 705-759-0100
48.433512,-89.221626,OLG Casino at Thunder Bay (No hotel) 877-656-4263 or 807-683-1935
53.837246,-101.267076,Asenekak Casino (No hotel) 877-627-2267 or 204-627-2250
50.361897,-96.623123,South Beach Casino & Resort 877-77-5825 or 204-766-2100
49.896111,-97.044859,Club Regent Casino (No hotel) 888-332-2623 or 204-957-2700
49.919794,-97.17055,McPhillips Station Casino (No hotel) 800-265-3912 or 204-957-3900 
49.891151,-97.328679,Assiniboia Downs Cacino (No hotel) 800-282-8035 or 204 885 3330
49.76025,-102.289791,Bear Claw Casino 306-577-4577
51.209918,-102.491005,Painted Hand Casino (No hotel) 306-786-6777
50.452818,-104.607884,Casino Regina (No hotel) 800-555-3189 or 306-565-3000
50.392489,-105.533443,Casino Moose Jaw (No hotel) 800-555-3189 or 306-694-3888
53.179857,-105.755948,Northern Lights Casino 306) 764-4777
51.890168,-106.704561,Dakota Dunes Casino (No hotel) 306-667-6400
52.757813,-108.270312,Gold Eagle Casino 877-446-3833 or 306-446-3833
50.304016,-107.784199,Living Sky Casino (No hotel) 306-778-5759
51.102583,-115.015628,Stoney Nakoda Casino 888-862-5632 or 403-881-2830
50.001667,-110.643147,Medicine Hat Lodge 800-661-8095 or 403-504-4584
49.685498,-112.785631,Rocky Mountain Turf Club - Bully's Casino (No hotel) 403-380-1905
49.695816,-112.785068,Casino Lethbridge (No hotel) 403-381-9467
51.064551,-113.999105,Casino Calgory (No hotel) 403-248-9467
51.041051,-114.055018,Cowboys Casino (No hotel) 888-610-8946 or 403-514-0900
51.037741,-114.060888,Elbow River Casino (No hotel) 800-661-1463 or 403-289-8880
51.016308,-114.039569,Century Casino Calgary (No hotel) 403 287 1183
51.018694,-114.047875,Cash Casino (No hotel) 403-287-1635
50.94963,-113.983489,Deerfoot Inn & Casino 888-875-4667 or 403-236-7542 (Reservations 403-236-7529)
51.006163,-114.145643,Grey Eagle Casino 844-719-8777 or 403-385-3777 (Reservations 403-719-8777)
52.26884,-113.805137,Jackpot Casino (No hotel) 403-342-5825
53.009046,-112.785391,Camrose Resort Casino 888-784-8441 or 780-679-0904 (Reservations 780-679-2376)
53.590155,-113.43306,Century Casino Edmonton (No hotel) 780-643-4000
