Latitude,Longitude,Name
53.359,-113.3935,Coloniale Golf & Country Club
51.478,-112.7982,Dinosaur Trail Golf & CC
53.862,-113.3245,Goose Hummock Golf Resort Inc
50.903,-115.1429,"Kananaskis Golf Courses (Mount Lotette, Mount Kidd)"
53.47,-113.1514,Northern Bear
49.056,-113.9114,Waterton Lakes Golf Club
53.587,-112.3609,WhitetailCrossing Golf Club
50.982,-114.571,Wintergreen Golf and Country Club
52.58,-113.657,Wolf Creek Golf Resort
53.407,-113.5194,7 Oaks Golf Course(Public)
51.502,-113.4985,Acme & District Golf Club(Public)
51.299,-112.9465,Akokiniskway Greens Golf Course(Public)
53.688,-114.3455,Alberta Beach Golf Resort & RV Park(Public)
52.278,-113.9407,Alberta Springs Golf Resort(Public)
52.911,-111.2349,Arm Lake Recreation Area(Public)
54.722,-113.286,Athabasca Golf & Country Club(Public)
52.275,-113.7275,Balmoral Golf Course(Public)
51.174,-115.5391,Banff Springs Golf Club(Resort)
54.113,-114.4074,Barrhead Golf Club(Public)
52.62,-112.9528,Bashaw Golf and Country Club(Public)
50.791,-112.4813,Bassano Sage and Thistle Golf Course(Public)
56.214,-117.614,Bear Creek Golf and C.C.
56.215,-117.6136,Bear Creek Golf and Country Club
51.158,-114.2658,Bearspaw Country Club
51.433,-114.2827,Beaver Dam Golf Course
53.537,-113.2425,Belvedere Golf and Country Club
53.1123,-114.4738,Big Tee Golf(Public)
52.0338,-112.7573,Big Valley Golf Course(Public)
53.236,-114.6526,Birchwood Village Greens(Public)
52.9759,-113.9584,Black Bull Golf Resort(Public)
53.3852,-113.6624,Blackhawk Golf Club(Semi-Private)
54.2702,-110.7882,Bonnyville Golf and Country Club(Semi Private)
49.8645,-111.3713,Bow Island Golf Club(Public)
51.931,-114.0271,Bowden Hi-Way Golf Course(Public)
53.1164,-114.4684,Breton Golf Course(Public)
49.6842,-112.7999,Bridge Valley Golf Club Ltd.(Public)
53.5294,-113.3081,Broadmoor Public Golf Course(Public)
50.5572,-111.8718,Brooks Golf Club(Semi-Private)
53.2726,-113.1481,Bull Hill Golf and Driving Range(Public)
51.0747,-114.0482,Calgary Elks Lodge & Golf Club(Semi-Private)
51.0086,-114.0828,Calgary Golf and Country Club(Private)
53.0219,-112.8574,Camrose Golf Course(Public)
51.1,-115.3636,Canmore Golf & Curling Club(Semi-Private)
50.9406,-114.0946,Canyon Meadows Golf and Country Club(Private)
53.7665,-113.589,Cardiff Golf & Country Club(Semi-Private)
49.1894,-113.3187,Cardston Lee Creek Valley Golf Course(PUBLIC)
50.8323,-113.9362,Carnmoney Golf Club(Private)
52.1577,-114.7372,Caroline & District Golf Course(Public)
51.5885,-114.0963,Carstairs Golf Club(Semi-Private)
52.2137,-111.9054,Castor Golf Club(Public)
53.95025926,-122.7505378,Aberdeen Glen
50.6412,-120.374,Aberdeen Hills
49.29004598,-124.7858448,Alberni
49.3234,-123.1447,Ambleside Pitch & Putt
50.9651,-119.1764,Anglemont Estates
49.0741,-121.9667,Aquadell
48.6878601,-123.5529032,Arbutus Ridge
48.63391048,-123.4607436,Ardmore
49.36909657,-124.5665644,Arrowsmith
53.818,-122.6627,Aspen Grove (Prince George)
50.0323,-119.3995,Aspen Grove (Winfield)
49.6275,-116.9611,Balfour
49.0241,-123.06,Beach Grove
48.47581661,-123.5281946,Bear Mountain Resort
52.113,-122.1924,Bell-E-Acres
49.15269935,-122.5947761,Belmont
51.7401,-121.3381,Best Western 108 Resort
50.6322,-119.1094,Birchdale Par Three
49.1624,-117.727,Birchland
48.82606336,-123.486749,Blackburn Meadows
49.63190176,-115.9473787,Bootleg Gap
49.34013884,-123.3651206,Bowen Island
49.26601828,-122.943569,Burnaby Mountain
49.3538,-123.1245,Capilano
