Latitude	Longitude	Name
54.51524	-128.58605	Best Western Plus Terrace Inn
52.98092	-122.49672	Best Western Plus Tower Inn
52.123182	-122.086487	Best Western Williams Lake Hotel
52.8162	-119.26908	Best Western Plus Valemount Inn & Suites
49.99915	-125.23122	Best Western Plus Austrian Chalet
49.6854	-124.99106	Best Western Plus Westerly Hotel & Conv. Ctr.
49.13159	-125.90149	Best Western Tin Wis Resort Lodge
49.2537	-124.80654	Best Western Plus Barclay Hotel
50.67149	-120.35487	Best Western Plus Kamloops Hotel
49.23196	-124.04376	Best Western Northgate Inn
49.16742	-123.93657	Best Western Dorchester Hotel
49.32495	-123.12169	Best Western Capilano Inn & Suites
49.28674	-123.14102	Best Western Plus Sands
49.27796	-123.12447	Best Western Plus Chateau Granville
49.26183	-123.09837	Best Western Plus Uptown Hotel
50.69845	-119.29823	Best Western Salmon Arm Inn
50.84002	-118.971	Best Western Sicamous Inn
49.19179	-123.1209	Best Western Plus Abercorn Inn
49.22433	-122.98594	Best Western Plus Kings Inn & Conf. Ctr.
49.24285	-122.89194	Best Western Plus Coquitlam Inn & Conv. Ctr.
49.23532	-122.87685	Best Western Chelsea Inn
48.91515	-123.71219	Best Western Plus Chemainus Inn
51.01006	-118.21921	Best Western Plus Revelstoke
49.14907	-122.84588	Best Western Plus King George Inn & Suites
49.216774	-122.621745	Best Western Maple Ridge Hotel
48.80453	-123.71686	Best Western Cowichan Valley Inn
49.111	-122.64606	Best Western Plus Langley Inn
49.04337	-122.79187	Best Western Peace Arch Inn
49.13318	-122.33136	Best Western Plus Mission City Lodge
49.05856	-122.49218	Best Western Plus Country Meadows Inn
51.31129	-116.9731	Best Western Mountainview Inn
49.03787	-122.33432	Best Western Plus Regency Inn & Conf. Ctr.
49.14557	-122.00814	Best Western Rainbow Country Inn
49.03523	-122.26873	Best Western Bakerview Inn
48.64941	-123.40311	Best Western Plus Emerald Isle Motor Inn
49.83899	-119.61144	Best Western Plus Wine Country Hotel & Suites
