Latitude	Longitude	Name
49.99855	-125.1956	Cape Mudge
52.1848	-128.11277	Dryad Point
48.78659	-125.21543	Cape Beale
48.61176	-124.7513	Carmanah Point
49.59263	-126.61537	Nootka
51.6033	-127.86382	Addenbroke Island
49.38299	-126.544	Estevan Point
49.20914	-123.80806	Entrance Island
51.24822	-127.83374	Egg Island
50.78198	-128.42717	Cape Scott
50.33369	-125.44571	Chatham Point
50.44119	-128.03244	Quatsino
48.39508	-123.30515	Trial Islands
52.26939	-128.40657	Ivory Island
54.25615	-133.05988	Langara Island
49.11039	-125.92349	Lennard Island
49.46753	-123.91222	Merry Island
52.26085	-128.72114	McInnes Island
54.56849	-130.70872	Green Island
49.47221	-124.68521	Chrome Island
50.97562	-127.72799	Pine Island
48.72231	-125.09737	Pachena Point
50.63054	-127.1549	Pulteney Point
50.86048	-127.61234	Scarlett Point
54.29452	-130.88047	Triple Islands
53.49226	-130.63705	Bonilla Island
52.64327	-128.52407	Boat Bluff
49.70592	-124.86249	Cape Lazo
48.92113	-125.54116	Amphitrite Point
49.48796	-123.29939	Pam Rocks
48.42453	-123.22575	Discovery Island
54.58034	-130.69774	Grey Islet
48.78299	-123.04585	East Point
50.81932	-128.90568	Sartine Island
49.35059	-124.16018	Ballenas Island
49.48637	-124.43493	Sisters Island
54.17221	-130.36117	Holland Rock
49.80429	-124.52591	Grief Point
54.29564	-130.60873	Lucy Island
50.93983	-127.63208	Herbert Island
52.18333	-127.46667	Cathedral Point
48.29802	-123.53143	Race Rocks
53.31493	-132.77252	Kindakun Rock
54.16019	-131.66187	Rose Spit
50.11105	-127.9394	Solander Island
49.33039	-123.26463	Point Atkinson
48.37667	-123.92106	Sheringham Point
49.10593	-123.30338	Sand Heads
53.02968	-131.60213	Cumshewa Island
48.54768	-123.23703	Kelp Reef
51.93581	-131.016	Cape St. James
50.45349	-125.99288	Fanny Island
48.92113	-125.54116	Amphitrite Point
49.48796	-123.29939	Pam Rocks
48.42453	-123.22575	Discovery Island
54.58034	-130.69774	Grey Islet
48.78299	-123.04585	East Point
50.81932	-128.90568	Sartine Island
49.35059	-124.16018	Ballenas Island
49.48637	-124.43493	Sisters Island
54.17221	-130.36117	Holland Rock
49.80429	-124.52591	Grief Point
54.29564	-130.60873	Lucy Island
50.93983	-127.63208	Herbert Island
52.18333	-127.46667	Cathedral Point
48.29802	-123.53143	Race Rocks
53.31493	-132.77252	Kindakun Rock
54.16019	-131.66187	Rose Spit
50.11105	-127.9394	Solander Island
49.33039	-123.26463	Point Atkinson
48.37667	-123.92106	Sheringham Point
49.10593	-123.30338	Sand Heads
53.02968	-131.60213	Cumshewa Island
48.54768	-123.23703	Kelp Reef
51.93581	-131.016	Cape St. James
50.45349	-125.99288	Fanny Island
