Latitude,Longitude,Name
67.4167,-140.9833,Rampart House
64.0167,-140.8333,Glacier Creek
61.8167,-140.7833,Canyon City
64.45,-140.55,Forty Mile
62.3833,-140.3667,Snag
62.6833,-140.0833,Donjek
67.5667,-139.8,Old Crow
63.5667,-139.7333,Ogilvie
65.9167,-139.6167,Fishing Station
63.0667,-139.4833,Thistle Creek
64.0667,-139.45,West Dawson
64.1,-139.4333,Moosehide
64.0333,-139.4333,Chandik
64.0333,-139.4333,Chandike
64.0333,-139.4333,Chandindu
64.0333,-139.4333,Clondyke
64.0333,-139.4333,Deer
64.0333,-139.4333,Klondike
64.0333,-139.4333,Klondyke
64.0333,-139.4333,Reindeer
64.0333,-139.4333,Thron-diuck
64.0667,-139.4167,Dawson
64.0667,-139.4167,Dawson City
63.3167,-139.4167,Stewart River
64.0167,-139.1,Last Chance
63.7667,-139.1,Readford
61.35,-139,Burwash
61.35,-139,Burwash Landing
61.35,-139,Buswash Landing
69.5667,-138.9,Herschel
69.5667,-138.9,Herschel Island
63.4833,-138.8333,Black Hills
63.2,-138.8167,Scroggie Creek
61.25,-138.8,Destruction Bay
63.8167,-138.6667,Paris
63.6667,-138.6167,Granville
61.0333,-138.3833,Kluahne
61.0333,-138.3833,Kluane
61.0333,-138.3833,Kluane Junction
62.7833,-138.2833,Selwyn
61.0833,-137.9167,Ruby Camp
60.8167,-137.6833,Bear Creek
63.7333,-137.65,Barlow
61.5667,-137.5,Aishihik
60.75,-137.5,Haines Junction
63.5667,-137.45,McQuesten
62.7667,-137.3833,Fort Selkirk
62.7667,-137.3833,Selkirk
69,-137.3667,Shingle Point
69,-137.3667,Tapkok Point
63.7833,-137.3,Clear Creek
59.9833,-137.1167,Squaw Creek
60.3667,-137.05,Beloud Post
60.3667,-137.05,Dezadeash
60.8667,-137.0333,Canyon
60.3,-137,Klukshu
62.5833,-136.8333,Minto
62.8333,-136.5833,Pelly Crossing
61.15,-136.5333,Hutshi
62.3333,-136.4833,Yukon Crossing
60.8,-136.4833,Champagne
62.1,-136.3167,Carmacks
60.7667,-136.0167,Mendenhall Landing
61.25,-135.9833,Kynocks
63.6,-135.9167,Mayo
63.6,-135.9167,Mayo Landing
63.7,-135.8667,Minto Bridge
61.5167,-135.8333,Braeburn
61.0167,-135.7833,Little River
60.85,-135.5167,Takhini
63.9167,-135.4833,Elsa
63.6333,-135.45,Gordon Landing
63.9,-135.3,Keno
63.9,-135.3,Keno Hill
63.95,-135.2667,Wernecke
61.4,-135.2167,Lower La Barge
61.4,-135.2167,Lower Laberge
59.6167,-135.1167,White Pass
60.9333,-135.0833,Upper Laberge
60.7167,-135.05,Whitehorse
59.7167,-135.05,Fraser
68.2167,-135,Aklavik
68.2167,-135,Aklavika
60.65,-135,Wigan
60.6333,-134.9833,MacRae
59.85,-134.9833,Bennett
59.85,-134.9833,Log Cabin
61.8667,-134.9333,Big Salmon
61.5833,-134.9167,Hootalingua
61.5833,-134.9167,Hootalinqua
60.5167,-134.9167,Cowley
59.9667,-134.9,Pennington
67.4333,-134.8667,Fort McPherson
67.4333,-134.8667,McPherson
60.45,-134.85,Robinson
60.3833,-134.8333,DeWette
60.0833,-134.8333,Watson
60.1833,-134.7167,Carcross
60.1833,-134.7167,Caribou
60.1833,-134.7167,Caribou Crossing
59.65,-134.6667,Teepee
59.65,-134.6667,Tepee
61.4333,-134.6333,Mason Landing
61.25,-134.6167,Teslin Crossing
60.0667,-134.5833,Conrad
60.0667,-134.5833,Conrad City
