Latitude,Longitude,Name
50.3319,-114.9486, Abby Ridge
52.2778,-116.4875, Abraham Mountain
52.3,-116.9867, Afternoon Peak
51.8056,-116.6694, Aiguille Peak
49.0111,-114.1056, Akamina Ridge
52.6167,-118.2292, Alcove Mountain
51.2625,-116.4889, Allan Peak
49.7431,-114.6444, Allison Peak
50.7417,-114.6833, Allsmoke Mountain
52.4875,-118.0069, Alnus Peak
52.9833,-119.1, Alpland Ridge
52.8111,-117.9056, Amber Mountain
53.9333,-119.25, Ambler Mountain
51.5333,-116.6986, Amiskwi Peak
52.625,-118.2333, Anchorite Mountain
49.1347,-114.0778, Anderson Peak
49.5667,-114.5875, Andy Good Peak
52.6097,-118.2097, Angle Peak
51.4625,-116.0278, Anthozoan Mountain
52.7583,-117.85, Antler Mountain
52.2111,-117.8194, Apex Mountain
51.3681,-115.4556, Apparition Mountain
52.7389,-118.1083, Aquila Mountain (Alberta)
51.1903,-116.4903, Aquila Mountain (BC)
51.9417,-117.0056, Arctomys Peak
53.45,-118.6833, Arcturus Peak
52.0389,-116.3583, Ardennes Peak
52.4667,-116.95, Arete Mountain
51.5875,-116.6044, Arete Peak
51.7889,-116.6472, Aries Peak
51.8083,-117.0833, Arras Mountain
52.7778,-118.2597, Arris Mountain
53.1708,-117.7986, Ashlar Ridge
51.1803,-115.1256, Association Peak
50.8264,-115.5597, Aurora Mountain
49.3236,-114.1139, Avion Ridge
54.0847,-120.3931, Awasis Mountain
50.8444,-115.6431, Aye Mountain
51.6403,-116.6014, Ayesha Peak
49.7553,-114.8364, Baldy Mountain
50.7183,-114.9178, Banded Peak
51.7256,-116.6067, Barbette Mountain
52.7206,-118.4147, Barbican Peak
50.2994,-114.7561, Baril Peak
49.3069,-114.3653, Barnaby Ridge
53.3667,-119.05, Barra Mountain
53.4,-119.4833, Barricade Mountain
51.6575,-115.6175, Barrier Mountain
52.1333,-115.4292, Baseline Mountain
52.8042,-118.3403, Basilica Mountain
53.8722,-120.0264, Bastille Mountain
52.7094,-118.345, Bastion Peak
52.5417,-118.2403, Beacon Peak
51.1628,-116.0264, Beatrice Peak
53.2806,-117.9389, Bedson Ridge
50.0656,-114.6622, Beehive Mountain
49.1208,-113.9167, Bellevue Hill
50.9547,-114.99, Belmore Browne Peak
52.6553,-118.2978, Bennington Peak
49.0389,-113.9444, Bertha Peak
52.2167,-116.8667, Bertram Peak
51.2875,-116.1408, Bident Mountain
53.5167,-119.8, Big Shale Hill
51.0144,-115.3528, Big Sister
52.8819,-118.6222, Bingley Peak
51.9153,-116.65, Bison Tower
53.3167,-117.9167, Black Cat Mountain
52.4667,-116.2667, Black Mountain
50.8014,-115.0292, Black Ridge
51.3347,-115.1667, Black Rock Mountain
52.9,-117.4167, Blackface Mountain
52.3264,-117.6167, Blackfriars Peak
52.6508,-118.1511, Blackhorn Peak
52.5694,-118.2972, Blackrock Mountain
51.7,-117.375, Blackwater Mountain
51.3778,-115.85, Block Mountain
50.6664,-114.8064, Bluerock Mountain
49.6333,-114.4167, Bluff Mountain
51.4347,-115.8833, Bonnet Peak
51.2514,-116.0764, Boom Mountain
51.6264,-116.3794, Bow Peak
51.4819,-116.0347, Brachiopod Mountain
51.7639,-116.6514, Breaker Mountain
51.0806,-115.7444, Brewster Rock
53.9625,-120.0653, Broadview Mountain
52.2833,-117.8583, Brouillard Mountain
52.5172,-117.8228, Brussels Peak
52.8222,-118.4417, Bucephalus Peak
49.0417,-113.9833, Buchanan Peak
49.0444,-113.9986, Buchanan Ridge
50.4264,-114.5619, Bull Creek Hills
49.5339,-115.4144, Bull Mountain
50.8903,-115.3139, Buller Mountain
53.5833,-118.5333, Bury Ridge
51.8403,-117.1681, Bush Peak
52.9903,-118.2208, Buttress Mountain
51.1528,-116.3764, Buttress Peak
51.2056,-116.5083, Butwell Peak
50.0417,-114.4917, Cabin Ridge
52.9833,-117.2833, Cadomin Mountain
