Latitude,Longitude,Name
33.949043,-84.509068,African American Sports Museum
33.764,-84.38766,African World Museum & Center
34.106704,-84.447066,Air Acres Museum Incorporated
33.73266,-84.373434,Atlanta Cyclorama and Civil War Museum
33.761984,-84.385834,Atlanta International Museum of Art and Design
33.7367,-84.3878,Braves Museum & Hall of Fame
33.794094,-84.389312,Breman Jewish Heritage Museum
33.940003,-84.597834,Cobb County Youth Museum
33.6949,-84.0142,Discovering Stone Mountain Museum
33.968676,-84.48983,East Cobb Childrens Museum
33.790259,-84.324432,Michael C Carlos Museum *Emory University(
33.775426,-84.328985,Fernbank Museum of Natural History
33.92084,-84.312756,Gipp Museums Incorporated
33.952437,-84.551446,Gone With the Wind Museum
33.952239,-83.98898,Gwinnett History Museum
33.658249,-84.408702,Hapeville Depot Museum
33.789724,-84.38469,High Museum of Art
33.7888,-84.4402,Imagine It the Childrens Museum of Atlanta
33.762033,-84.391834,Imagine It! - Children's Museum of Atlanta
33.733817,-84.388064,Ivan Allen Jr Braves Museum & Hall of Fame
33.7677,-84.355185,Jimmy Carter Library and Museum
33.750286,-84.750707,Jocada Museum of Jazz
34.023616,-84.614552,Kennesaw Civil War Museum
33.781463,-84.384192,Margaret Mitchell House and Museum
33.9509,-84.5216,Marietta Aeronautical Museum
33.952663,-84.550765,Marietta Museum of History
33.951718,-84.549164,Marietta/Cobb Museum of Art
33.848846,-84.364423,Metropolitan Museum of Art
33.794357,-84.387345,Museum of Contemporary Art of Georgia (MOCA GA)
33.748657,-84.387711,National Civil Rights Museum
33.793037,-84.389034,National Museum-Patriotism
33.927532,-84.843585,Paulding County Museum
33.954161,-84.552064,Root House Museum
33.726528,-84.407734,Salvation Army Museum of South
33.76523,-84.381861,Science and Technology Museum of Atlanta
33.772572,-84.32782,Southeastern Museum Conference
33.999842,-84.168328,Southeastern Railway Museum
33.745422,-84.408705,Spelman College Museum of Fine Arts
33.665437,-84.410981,Teaching Museum-South
33.755412,-84.383144,The APEX Museum
33.794087,-84.389264,William Breman Jewish Heritage Museum
33.865698,-84.366792,Women's Museums of the World
32.778515,-96.763852,African American Museum 
32.748227,-97.368224,Amon Carter Museum
32.736758,-97.108437,Arlington Museum of Art
31.602933,-94.654021,The Art Center
33.019803,-96.700136,ArtCentre of Plano
32.841122,-96.714254,Bath House Cultural Center
32.797495,-96.71667,Creative Arts Center
32.787767,-96.799983,Crow Collection of Asian Art 
32.78704,-96.799579,Dallas Museum of Art
32.787995,-96.786714,Dallas Center for Contemporary Art
32.803713,-96.802953,Museum of Geometric and MADI Art
32.914547,-96.636384,Granville Arts Center
33.157651,-96.61539,The Heard Museum
32.85,-96.959286,Irving Arts Center
32.740155,-96.839528,Ice House Cultural Center
32.836692,-96.971178,Jaycee Park Center For The Arts
32.916648,-96.818647,The Jesuit Dallas Museum 
32.749572,-97.365022,Kimbell Art Museum
32.803713,-96.802953,The Madi Museum
32.802094,-96.800639,The MAC 
32.83831,-96.785065,The Meadows Museum
32.783715,-96.602676,Mesquite Arts Centre
32.74868,-97.363267,Modern Art Museum of Fort Worth
32.78785,-96.800198,Nasher Sculpture Center
32.914547,-96.636384,Performing Arts Center of Garland
33.019803,-96.700136,Plano ArtCentre
32.77158,-96.757626,South Dallas Cultural Center
32.807098,-96.840224,Trinity River Arts Center 
32.782879,-96.76558,The Women's Museum 
32.782606,-96.762645,Age of Railroad Museum
32.832552,-97.062257,American Ailines Smith Museum
32.780359,-96.804517,American Museum of Miniature Arts
32.74863,-97.329249,Amon Carter Museum
32.750919,-97.340012,Cattle Raisers Museum
32.973467,-96.834201,Cavahnaugh Flight Museum
32.782949,-96.765926,Dallas Firefighters Museum
32.779088,-96.805882,The Conspiracy Museum
32.779853,-96.807342,Dallas Holocaust Museum
