Latitude	Longitude	Name
60.58333	-137.209325	Kluane National Park Kathleen Lake Campground
44.350034	-76.054182	1000 Islands Camping Resort
44.47491	-75.8824	1000 Islands/Mallorytown KOA
49.052265	-123.766654	4 All Season RV Campground
60.000578	-116.98204	60th Parallel Territorial Park Campground (Unserviced)
42.825112	-81.832515	A.W. Campbell Conservation Area
49.75818	-92.65357	Aaron Provincial Park Campground
50.062119	-91.959843	Abram Lake Tent and Trailer Park
50.425407	-121.33401	Acacia Grove R.V. Park and Cabins
51.152044	-110.214188	Acadia Valley Ball Park & Campround
49.913579	-119.370118	Acres RV Park
49.554696	-114.359173	Adanac Adventures Camping & Cabins
46.089055	-60.859451	Adventures East Campground and Cottages
51.768444	-99.545918	Agassiz-Waterhen River Lodge and Outfitters
47.335317	-84.615427	Agawa Bay Campground Lake Superior Provincial Park
48.785964	-87.12053	Aguasabon Falls Campground
45.664387	-79.740077	Ahmic Lake Resort
46.05094	-61.10814	Ainslie Village Campground
44.14782	-81.6648	Aintree Trailer Park
53.008443	-122.505677	Airport Inn Motel and RV Park
55.765668	-120.251985	Alahart Apartments and RV Park
49.265872	-102.275833	Alameda Campground
54.120974	-115.656503	Alaska Highway Motel & RV Park
53.674538	-114.351562	Alberta Beach campground
53.682658	-114.338374	Alberta Beach Golf Resort
53.695964	-114.344188	Alberta Beach Pentecostal Camp
43.936009	-79.820138	Albion Hills Conservation Area
50.119861	-115.547077	Alces Lake - Whiteswan Provincial Park Campground
49.053136	-122.49424	Alderbrook R V Park
45.568939	-78.438874	Algonquin PP  Pog Lake Campground
45.867255	-77.757028	Algonquin Provincial Park Achray Campground
46.025664	-78.486284	Algonquin Provincial Park Brent Campground
45.553423	-78.600234	Algonquin Provincial Park Canisbay Lake Campground
45.538939	-78.405269	Algonquin Provincial Park Coon Lake Campground
45.571971	-78.441098	Algonquin Provincial Park Kearney Lake Campground
46.08944	-78.877863	Algonquin Provincial Park Kiosk Campground
45.579532	-78.502303	Algonquin Provincial Park Lake of Two Rivers Campground
45.577837	-78.513652	Algonquin Provincial Park Mew Lake Campground
45.526473	-78.409902	Algonquin Provincial Park Rock Lake Campground
45.513677	-78.719393	Algonquin Provincial Park Tea Lake Campground
45.323156	-78.98708	Algonquin Trails Camping Resort
52.397645	-113.194244	Alix Lake Recreation Area Campground
48.471341	-123.502474	All Fun RV Park
45.50513	-77.99094	All Star Resort
52.436763	-111.783393	Alliance  Recreation Area
52.41167	-111.80834	Alliance Roadside Campground
45.57107	-79.32766	Almaquin Parklands Campground
49.057481	-122.402257	Aloha Trailer Park and Campsite
43.45061	-80.60781	Alpine Country Trailer Park
44.39747	-78.75391	Alpine RV Resort
49.108269	-97.567688	Altona Centennial Park
44.23212	-80.82577	Amazing Rocky Park Campground ***
45.9607	-63.8796	Amherst Shore Provincial Camp Ground (No Services)
44.488892	-78.449032	Anchor Bay Camp
43.89162	-77.216029	andbanks Provincial Park outlet river A&B Campground (1-270)
53.87988	-112.331824	Andrew R.V. Park
49.75367	-94.47905	Anicinabe RV Park & Campground
49.321501	-122.855556	Anmore Camp and RV Park
44.838424	-65.291845	Annapolis River CampGround
50.275441	-108.413077	Antelope Lake Regional Park Campground
52.033428	-113.960826	Anthony Henday Campground
46.25519	-78.27338	Antler's Kingfisher Lodge & Campgrounds
49.823191	-119.426867	Apple Orchard RV Park
49.926414	-119.433935	Apple Valley Orchard and RV Park
50.50403	-114.089702	Archie & Janet Hogg Park
44.92666	-76.922294	Ardoch Falls Wilderness Tent & Trailer Park
47.2735	-53.983	Argentia Sunset Park
49.387658	-99.241132	Argyle Centennial Park Campground
44.57573	-78.78182	Arkadia Trailer Park & Cottages
44.883798	-75.20945	Arlor Haven Campground
52.753724	-110.585138	Arm Lake Recreation Area Campground
46.250158	-60.289219	Arm of Gold Campground
50.8179	-56.0989	Armistice Park
50.446462	-119.201546	Armstrong Kin RV Park
44.496559	-81.263778	Arran Lake Park
50.683072	-100.706508	Arrow Lake Campground
45.382662	-79.223275	Arrowhead Provincial Park
49.696319	-96.986331	Arrowhead RV Park
50.737186	-113.150534	Arrowwood Campground
50.965248	-101.314054	Asessippi Beach & Campground
50.96083	-101.375156	Asessippi Provincial Park
53.147049	-114.407148	Ashland Campground
