Latitude	Longitude	Name
53.676545	-132.159195	Rest Area
53.662604	-132.126973	Turnout
53.971054	-132.125184	Scenic Overlook
53.871517	-132.082567	Turnout
53.253115	-132.062681	Turnout
53.252364	-132.046587	Turnout
53.250287	-132.030371	Scenic Overlook
53.246877	-132.025033	Scenic Overlook
53.245015	-132.014015	Turnout
53.264818	-131.994746	Turnout
53.280786	-131.97093	Turnout
53.28538	-131.97008	Turnout
53.312647	-131.960907	Scenic Overlook
53.582575	-131.943853	Rest Area
53.381495	-131.934825	Scenic Overlook
53.418938	-131.91583	Turnout
53.422612	-131.915468	Turnout
54.280066	-130.270777	Scenic Overlook
54.256286	-130.261508	Scenic Overlook
54.237764	-130.141819	Turnout
54.242873	-130.121915	Turnout
54.240301	-130.11279	Rest Area
54.229262	-130.070322	Turnout
54.232175	-130.06373	Turnout
54.207035	-129.979213	Rest Area
54.20241	-129.951214	Rest Area
54.223382	-129.891905	Scenic Overlook
54.234241	-129.811092	Turnout
54.231785	-129.8034	Rest Area
54.22646	-129.78891	Rest Area
54.218936	-129.737077	Scenic Overlook
54.21649	-129.720243	Turnout
54.21282	-129.69487	Turnout
54.191432	-129.653435	Rest Area
54.243394	-129.519485	Rest Area
54.247563	-129.477871	Turnout
54.251325	-129.446529	Turnout
54.25203	-129.443233	Turnout
54.261527	-129.431737	Turnout
54.294363	-129.397772	Scenic Overlook
54.335294	-129.283762	Turnout
54.358963	-129.168051	Turnout
54.372615	-129.136412	Turnout
54.399961	-129.060677	Scenic Overlook
54.403067	-129.032031	Rest Area
54.434403	-128.839288	Turnout
54.460959	-128.790944	Turnout
54.470225	-128.772275	Turnout
54.487442	-128.731517	Turnout
54.508507	-128.686316	Turnout
54.514879	-128.68211	Rest Area
54.517442	-128.680885	Turnout
54.520347	-128.67637	Scenic Overlook
54.522121	-128.663903	Rest Area
54.519462	-128.657134	Rest Area
54.511665	-128.557173	Truck Weigh Station - Follow Signs
54.57872	-128.417087	Turnout
54.637408	-128.399947	Turnout
54.951435	-128.392644	Rest Area
54.941467	-128.388065	Turnout
54.921365	-128.379879	Turnout
54.909636	-128.379238	Scenic Overlook
54.974806	-128.360245	Turnout
54.861897	-128.356361	Turnout
54.983961	-128.351402	Scenic Overlook
54.985525	-128.348937	Turnout
55.006462	-128.328992	Turnout
54.714851	-128.311051	Rest Area
54.824386	-128.292305	Turnout
55.037505	-128.281117	Turnout
54.802967	-128.277086	Turnout
54.746348	-128.260172	Turnout
55.071629	-128.203178	Rest Area
55.080187	-128.159962	Rest Area
55.093522	-127.943795	Turnout
55.093792	-127.928796	Turnout
55.084912	-127.85964	Turnout
55.08457	-127.848469	Scenic Overlook
55.085795	-127.834119	Rest Area
55.245282	-127.604608	Rest Area
55.246335	-127.548072	Turnout
55.212412	-127.470854	Turnout
55.204363	-127.427555	Turnout
55.186049	-127.395323	Scenic Overlook
55.173928	-127.385547	Scenic Overlook
55.157538	-127.38236	Turnout
55.1486	-127.382274	Turnout
55.160609	-127.382154	Scenic Overlook
55.009448	-127.333732	Turnout
55.012919	-127.331256	Scenic Overlook
54.938792	-127.315621	Turnout
54.84924	-127.220859	Rest Area
54.807957	-127.202896	Turnout
54.770173	-127.135385	Rest Area
54.667557	-126.995344	Scenic Overlook
54.596899	-126.840445	Turnout
54.535142	-126.77574	Rest Area
54.494324	-126.742634	Turnout
54.494931	-126.483784	Turnout
54.510701	-126.314964	Rest Area
54.505791	-126.297594	Rest Area
54.470495	-126.209181	Turnout
54.452032	-126.194459	Rest Area
54.356577	-125.919993	Rest Area
54.244072	-125.778899	Turnout
54.205409	-125.605539	Rest Area
54.150452	-125.409451	Turnout
54.094022	-125.168127	Rest Area
54.087032	-125.076429	Turnout
54.060214	-124.909219	Turnout
54.060998	-124.68431	Rest Area
54.026069	-124.310955	Rest Area
54.012863	-124.121926	Truck Weigh Station
54.000611	-123.993043	Rest Area
49.067153	-123.878113	Rest Area - Follow Signs
48.816119	-123.718189	Truck Weigh Station
48.829463	-123.717985	Truck Weigh Station
48.796157	-123.714477	Scenic Overlook
48.789453	-123.710496	Scenic Overlook
53.90875	-123.585184	Rest Area
48.508232	-123.557224	Turnout
48.465829	-123.55201	Turnout
48.483017	-123.551071	Turnout
48.472882	-123.550543	Turnout
48.56780371	-123.5481922	Scenic Overlook
48.583478	-123.530188	Scenic Overlook
48.578378	-123.528852	Rest Area
48.422209	-123.366015	Inner Harbour Visitor Information Centre - Follow Signs
49.34871	-123.229308	Turnout
53.811331	-122.967474	Turnout
53.810303	-122.959658	Turnout
49.189324	-122.767027	Truck Weigh Station
49.184288	-122.744695	Truck Weigh Station
53.908674	-122.695194	Turnout
53.908554	-122.687663	Turnout
53.9457	-122.460702	Turnout
49.077584	-122.431254	Rest Area
53.907454	-122.333107	Rest Area
49.054589	-122.184529	Rest Area - Follow Signs
53.90509	-121.921683	Turnout
53.911264	-121.891707	Turnout
53.91263	-121.716532	Turnout
53.880319	-121.613454	Turnout
49.338356	-121.601068	Truck Weigh Station
49.349781	-121.586694	Truck Weigh Station
49.352348	-121.582303	Rest Area - Follow Signs
50.157743	-121.578567	Turnout
49.356409	-121.577271	Rest Area - Follow Signs
50.152031	-121.577266	Scenic Overlook
50.211251	-121.575246	Turnout
50.213604	-121.57519	Turnout
50.237503	-121.575085	Turnout
50.208453	-121.575037	Turnout
50.240079	-121.573693	Scenic Overlook
50.179239	-121.572178	Rest Area
50.131962	-121.565655	Scenic Overlook
50.103317	-121.558126	Scenic Overlook
50.124471	-121.558032	Turnout
50.0773	-121.549811	Scenic Overlook
50.075136	-121.547029	Scenic Overlook
50.255435	-121.542982	Scenic Overlook
50.03759	-121.533895	Rest Area
50.036589	-121.533339	Turnout
50.014175	-121.521961	Turnout
49.99485	-121.504141	Scenic Overlook
49.991146	-121.503344	Turnout
50.257006	-121.470227	Scenic Overlook
49.939617	-121.465689	Scenic Overlook
49.802737	-121.455864	Turnout
49.925377	-121.454576	Scenic Overlook
49.800765	-121.453479	Turnout
49.794196	-121.447731	Turnout
49.409802	-121.445128	Rest Area
49.887767	-121.444	Turnout
49.777574	-121.441732	Turnout
49.884114	-121.44168	Turnout
49.874552	-121.441531	Scenic Overlook
49.416556	-121.437249	Turnout
49.772066	-121.436388	Turnout
49.817673	-121.431946	Turnout
49.729109	-121.429681	Scenic Overlook
49.727521	-121.427852	Scenic Overlook
53.842396	-121.427678	Turnout
49.760338	-121.42622	Turnout
49.738231	-121.422508	Turnout
49.482764	-121.422465	Turnout
49.667128	-121.42019	Turnout
49.758751	-121.419847	Rest Area
49.745026	-121.417186	Turnout
49.750419	-121.416242	Turnout
49.755361	-121.416221	Turnout
49.686713	-121.415716	Turnout
49.608979	-121.415169	Turnout
49.563003	-121.414965	Scenic Overlook
49.69314	-121.412959	Turnout
49.576299	-121.402874	Scenic Overlook
50.285864	-121.401747	Scenic Overlook
49.567519	-121.401737	Scenic Overlook
50.287735	-121.399451	Scenic Overlook
50.380448	-121.398239	Turnout
50.329019	-121.396533	Scenic Overlook
50.339188	-121.396179	Turnout
50.309831	-121.394763	Scenic Overlook
49.62685	-121.393797	Turnout
50.297934	-121.392113	Scenic Overlook
50.412305	-121.360087	Turnout
50.637724	-121.34438	Rest Area
50.606441	-121.333791	Turnout
50.429183	-121.31846	Scenic Overlook
50.741887	-121.313374	Turnout
50.44641	-121.312011	Scenic Overlook
50.44958	-121.311411	Scenic Overlook
50.452155	-121.308514	Scenic Overlook
50.809562	-121.307741	Turnout
50.570128	-121.307119	Scenic Overlook
50.483603	-121.303203	Turnout
50.561357	-121.302731	Scenic Overlook
50.477827	-121.302495	Scenic Overlook
50.556838	-121.301358	Scenic Overlook
