Latitude,Longitude,Name
49.3889,-119.9,Apex Alpine Resort
49.492,-117.288,Baldface Lodge
49.7283,-118.945,Big White Resort
44.496,-80.3,Blue Mountain Ski Resort
45.9552,-74.1737,Ski Chantecler
45.6436,-75.8526,Edelweiss Valley
46.1549,-74.5898,Gray Rocks
49.4265,-114.225,Castle Mountain Resort
51.0049,-118.202,Cat Powder Skiing
51.1735,-115.571,CMH Heli-Skiing
50.1164,-122.97,Coast Range Heliskiing
53.7503,-121.256,Crescent Spur Heli-Skiing
49.8813,-119.71,Crystal Mountain Resort
49.393,-123.209,Cypress Mountain
52.376,-126.605,Dream Catcher Heliskiing
50.3296,-115.828,Fairmont Ski Area
49.4609,-115.086,Fernie Alpine Resort
50.7906,-115.166,Fortress Mountain
51.2963,-116.97,Great Canadian Heli-Skiing
49.3752,-123.082,Grouse Mountain
50.194,-116.962,Highland Powder Skiing
44.5461,-79.6699,Horseshoe Resort
52.1183,-116.433,Icefield Helicopter Tours
48.586,-81.5994,Kamiskotia Ski Resort
51.2904,-117.053,Kicking Horse Mountain Resort
49.6963,-116,Kimberley Alpine Resort
51.4463,-116.132,Lake Louise Mountain Resort
44.0265,-79.0637,Ski-Lakeridge
52.7972,-118.091,Marmot Basin
51.0049,-118.202,Mica Heliskiing
52.1073,-119.306,Mike Wiegele Heli Skiing
50.2582,-119.093,Monashee Powder Snowcats
46.2625,-73.8741,Val Saint-Come
44.6196,-79.661,Mt. St. Louis Moonstone
45.3203,-76.3337,Mount Pakenham
49.3651,-122.948,Mount Seymour
49.1552,-119.249,Mount Baldy
49.7418,-125.296,Mount Washington Alpine Resort
50.9416,-115.158,Nakiska
51.2075,-115.604,Ski Banff @ Norquay
54.5167,-128.6,Northern Escape Heli-Skiing
48.4863,-68.244,Mont-Comi
50.4503,-116.236,Panorama Mountain Resort
51.9017,-124.608,Pantheon Helisports
55.182,-122.743,Powder King
51.2963,-116.97,Purcell Helicopter Skiing
49.1019,-117.851,Red Mountain Resort
49.9914,-117.375,Retallack Alpine Adventures
50.4599,-116.235,RK Heliski
46.7628,-84.0413,Searchmont
50.194,-116.962,Selkirk Wilderness Skiing
51.0049,-118.202,Selkirk Tangiers Heli Skiing
54.3339,-129.229,Shames Mountain
50.3586,-119.057,Silver Star
54.7643,-127.239,Smithers
44.4162,-79.7649,Snow Valley Barrie
47.0273,-71.3886,Stoneham Mountain Resort
45.069,-72.2936,Owl's Head
50.8914,-119.894,Sun Peaks Resort
51.1272,-115.751,Sunshine Village
44.3857,-80.5403,Talisman Resort
50.8536,-122.846,TLH Heliskiing
58.8486,-133.142,Tulsequah Heliskiing
47.084,-70.9283,Mont Sainte Anne
45.0963,-72.5692,Mont Sutton
46.2141,-74.5635,Mont Tremblant Resort
49.492,-117.288,Valhalla Powdercats
50.108,-122.937,Whistler Blackcomb
50.1193,-122.968,Whistler Heli-Skiing
50.194,-116.962,White Grizzly Snowcats
49.4418,-117.147,Whitewater Winter Resort
49.279,-117.219,Wildhorse Cat Skiing
46.0205,-74.2609,Ski Mont Gabriel
45.3153,-72.2257,Mont Orford
46.5628,-75.409,Mont Saint-Sauveur
46.6842,-70.3649,Massif du Sud
46.0986,-74.5005,Mont Blanc
47.2733,-70.5971,Le Massif
45.2895,-72.6437,Ski Bromont
